id,city,neighbourhood,room_type,price,latitude,longitude,description
18175457,Brussels,Anderlecht,Private room,80.0,50.83294,4.30444,"70 m2 fully furnished apartment in a quiet neighborhood with a small balcony and a view on the most green avenue of Anderlecht near Astrid park. 200 meter from the metro Saint-Guidon, direct metro line 5 which reaches Central Station in 15 minutes."
906964879751397662,Brussels,Saint-Josse-ten-Noode,Private room,35.0,50.85309,4.37721,"Modern studio in the brand new residence (renovated 2020) is only 4 minutes cycling distance to Schuman station and the EU Commission, or alternatively 9' walk to Madou metro station and features 10 bedrooms from 14 to 28 sqm, each with its own private shower, toilet and fridge. A large common area with a lounge and fitted kitchen as well as a garden and bicycle parking is available to the tenants, as well as a laundry room with a coin-operated washing machine."
378955,Brussels,Evere,Entire home/apt,67.0,50.8619,4.42555,"Stay for a long period outside the noise of the city center in a comfortable apartment part of a big house. Enjoy a huge and quiet garden with a greenhouse and veg garden, and a house decorated with lots of paintings and sculptures. Experience a true sustainable stay where everything is done to contribute to a better world. The owners will make your stay a good remembering, enjoying the house and its services."
1157087279647139412,Brussels,Jette,Private room,66.0,50.88874,4.31227,"Very nice room with garden, private bathroom, private toilet, workspace (desk). House in Brussels (Jette) in a very quiet residential area, close to UZ hospital and Brussels EXPO via tramway line 9 (2 minutes walking). Easy free parking in area. My place is very close to border of Brussels area and countryside around Brussels. Lot of nature and parks. Ideal for cyclist."
3920306,Brussels,Saint-Gilles,Entire home/apt,122.0,50.82926690000001,4.343036,"Enjoy a unique stay in this peaceful and bright accommodation in the interior of an island. The duplex, cozy and tastefully decorated, is located on the 1st floor of a rear house in the heart of the cosmopolitan and lively district of Parc Saint-Gilles (a very popular municipality). Ideal location for visiting Brussels, close to Gare du Midi (2 metro stops/10 min walk) and transport (metro, tram, bus) accessible within walking distance. Shops, restaurants, bars, laundromat nearby."
1486927687309434864,Brussels,Woluwe-Saint-Lambert,Private room,45.0,50.85041,4.45425,"I offer a private room (12 m2) in my 130 m2 apartment. 140 cm bed, pillows, duvet, bed linen and towels provided. The apartment has a large bathroom (shower + sink + toilet), a small shower room and a separate toilet. You have access to the large living room, kitchen and a small terrace. Included in the price, a secure parking space (closed garage) and breakfast. The Alma metro station is located at the foot of the building."
1310427708384444610,Brussels,Bruxelles,Entire home/apt,68.0,50.84316200853543,4.34334162505956,"Recently renovated studio, ideal for your stay in Brussels. Just 15 minutes’ walk from Gare du Midi and 12 minutes from the city center, this space features a comfortable double bed (140 cm) and a fully equipped open kitchen. Public transport, shops, supermarkets, restaurants, and bars are just steps away. Enjoy a spotless accommodation, perfect for exploring the city or staying near the train stations. Professionally cleaned for maximum comfort!"
1456998395994464571,Brussels,Saint-Gilles,Entire home/apt,107.0,50.8317591,4.3564471,"Tucked away in a private backyard just steps from Avenue Louise, this rare tiny house duplex offers a quiet retreat in the heart of Brussels' most popular area. This place is authentic, peaceful, & full of character. Think: original flooring, high ceilings, and the kind of home that feels lived-in. Whether you're a couple looking for something special, friends exploring the city, or remote workers craving calm in a central location, this hidden gem is truly one-of-a-kind."
1258915970168219987,Brussels,Bruxelles,Entire home/apt,486.0,50.8713795,4.3454067,"Experience city living in this spacious, fully renovated house, ideal for families, groups, or friends. Just minutes from the city center, it’s located near Tour et Taxis park and Gare Maritime food market with easy access to buses, metro, and walking paths. This property features four independent apartments across four floors, offering 5 bedrooms, 4 living rooms with sofa beds, 4 modern bathrooms with rain showers, 4 kitchens, and a garden. No parties allowed."
1297179498069057126,Brussels,Etterbeek,Entire home/apt,78.0,50.83767,4.39258,"Welcome to a spacious studio in Brussels' European Quarter, steps from the EU Parliament, Cinquantenaire Park, and metro stations. Perfect for work or leisure, this studio features a living and dining area with a dedicated workspace with a stable and fast (150Mbps) internet connection, a fully equipped separate kitchen, and a cozy sleeping area. Guests can enjoy a private terrace for outdoor dining and use the on site washing machine. Experience comfort and convenience in the heart of the city."
